Team,Season,Coach,QB,Actual,Vegas Total,Adj. Total,Result,Over,Under,Hold,Over,Under,Team,Opponent
BUF,2025,Sean McDermott,Josh Allen,6,12.5,12.356,Active,125,-150,0.0444444,0.425532,0.574468,6.80145,-0.462154
BAL,2025,John Harbaugh,Lamar Jackson,4,11.5,11.5624,Active,-125,105,0.0433604,0.532468,0.467532,6.70286,1.14725
KC,2025,Andy Reid,Patrick Mahomes,5,11.5,11.4177,Active,110,-130,0.0414079,0.457256,0.542744,6.58069,1.39165
PHI,2025,Nick Sirianni,Jalen Hurts,7,10.5,10.644,Active,-150,125,0.0444444,0.574468,0.425532,5.46796,1.73482
GB,2025,Matt LaFleur,Jordan Love,5,10.5,10.4376,Active,105,-125,0.0433604,0.467532,0.532468,4.71442,1.32143
SF,2025,Kyle Shanahan,Mac Jones,6,10.5,10.4376,Active,105,-125,0.0433604,0.467532,0.532468,1.95396,-1.39298
LAR,2025,Sean McVay,Matthew Stafford,7,9.5,9.62667,Active,-145,120,0.0463822,0.565603,0.434397,2.0306,0.0718921
DEN,2025,Sean Payton,Bo Nix,8,9.5,9.60869,Active,-140,115,0.0484496,0.556377,0.443623,2.90308,1.00926
DET,2025,Dan Campbell,Jared Goff,6,9.5,9.56242,Active,-125,105,0.0433604,0.532468,0.467532,3.91255,2.05598
TB,2025,Todd Bowles,Baker Mayfield,6,9.5,9.54176,Active,-120,100,0.0454545,0.521739,0.478261,1.02036,-0.816596
WAS,2025,Dan Quinn,Jayden Daniels,3,9.5,9.5,Active,-110,-110,0.047619,0.5,0.5,2.896,1.18953
LAC,2025,Jim Harbaugh,Justin Herbert,7,9.5,9.4792,Active,-105,-115,0.0470788,0.489166,0.510834,2.6166,0.978522
CIN,2025,Zac Taylor,Joe Flacco,3,9.5,9.4792,Active,-105,-115,0.0470788,0.489166,0.510834,2.74893,1.04723
HOU,2025,DeMeco Ryans,C.J. Stroud,4,9.5,9.41774,Active,110,-130,0.0414079,0.457256,0.542744,2.34124,0.822205
MIN,2025,Kevin O'Connell,Carson Wentz,4,9.5,9.39131,Active,115,-140,0.0484496,0.443623,0.556377,3.12496,1.58147
ARI,2025,Jonathan Gannon,Jacoby Brissett,3,8.5,8.60869,Active,-140,115,0.0484496,0.556377,0.443623,-0.0156206,-0.220199
PIT,2025,Mike Tomlin,Aaron Rodgers,5,8.5,8.56242,Active,-125,105,0.0433604,0.532468,0.467532,1.27518,1.18564
NE,2025,Mike Vrabel,Drake Maye,8,8.5,8.5,Active,-110,-110,0.047619,0.5,0.5,-1.07438,-0.944036
SEA,2025,Mike Macdonald,Sam Darnold,7,8.5,8.45824,Active,100,-120,0.0454545,0.478261,0.521739,-0.221246,-0.180082
ATL,2025,Raheem Morris,Michael Penix,3,7.5,7.60869,Active,-140,115,0.0484496,0.556377,0.443623,-2.40558,-0.845684
CHI,2025,Ben Johnson,Caleb Williams,6,7.5,7.60869,Active,-140,115,0.0484496,0.556377,0.443623,-0.0390495,1.45756
JAX,2025,Liam Coen,Trevor Lawrence,5,7.5,7.56242,Active,-125,105,0.0433604,0.532468,0.467532,-1.54315,0.113456
MIA,2025,Mike McDaniel,Tua Tagovailoa,3,7.5,7.4792,Active,-105,-115,0.0470788,0.489166,0.510834,-1.93469,-0.0533657
DAL,2025,Brian Schottenheimer,Dak Prescott,3,7.5,7.45824,Active,100,-120,0.0454545,0.478261,0.521739,-0.437955,1.37612
IND,2025,Shane Steichen,Daniel Jones,8,7.5,7.41774,Over,110,-130,0.0414079,0.457256,0.542744,-1.64559,0.256551
OAK,2025,Pete Carroll,Geno Smith,2,6.5,6.62667,Active,-145,120,0.0463822,0.565603,0.434397,-2.32282,1.02263
CAR,2025,Dave Canales,Bryce Young,5,6.5,6.58226,Active,-130,110,0.0414079,0.542744,0.457256,-4.13938,-0.738298
TEN,2025,Brian Callahan,Cam Ward,1,6.5,6.41774,Active,110,-130,0.0414079,0.457256,0.542744,-3.84748,-0.168831
NYJ,2025,Aaron Glenn,Justin Fields,2,6.5,6.37333,Active,120,-145,0.0463822,0.434397,0.565603,-3.90238,0.0048905
NYG,2025,Brian Daboll,Jaxson Dart,2,5.5,5.60869,Active,-140,115,0.0484496,0.556377,0.443623,-3.38349,1.7733
CLE,2025,Kevin Stefanski,Dillon Gabriel,2,4.5,4.62667,Active,-145,120,0.0463822,0.565603,0.434397,-5.55016,1.6965
NO,2025,Kellen Moore,Spencer Rattler,2,4.5,4.59005,Active,-135,110,0.0506586,0.546769,0.45323,-8.07583,-0.863619