X.2,X.4,X.6,X.9,X.20,X.23,~~~Per 17 Gms~~~,X.25,X.26
Player,Age,Tms,Prim.,Plays,Val/Pl,EPA,vs Avg,vs Rep
Josh Allen,29,buf,9,353.880884,0.053486068,104.6155951,35.75231654,61.49465415
Patrick Mahomes,30,kan,9,396.270789,3.55E-02,103.6807881,26.56866663,55.39457077
Matthew Stafford,37,ram,9,366.381982,0.038498874,97.93925609,26.64333247,53.29503677
Jared Goff,31,det,9,320.330558,0.049051094,92.01385717,29.67928801,52.98107611
Sam Darnold,28,sea,9,265.068779,0.0648866,84.06870789,32.48777774,51.7696613
Drake Maye,23,nwe,10,401.669368,0.02929323,90.34891825,20.00252845,46.29927985
Dak Prescott,32,dal,9,392.079552,0.023081349,93.39045464,17.09392489,45.61494611
Daniel Jones,28,clt,10,397.950255,0.028687992,89.10291192,19.40786921,45.4611353
Jalen Hurts,27,phi,9,339.746118,0.031964891,86.625965,20.51323439,45.2273675
Jordan Love,27,gnb,9,346.990835,2.99E-02,87.15087589,19.62836309,44.86949826
Caleb Williams,24,chi,9,369.258441,0.018401063,84.69019049,12.83452373,39.69547013
Baker Mayfield,30,tam,9,372.510758,0.01688931,84.37239891,11.88384911,38.98137862
Lamar Jackson,28,rav,6,207.404,5.57E-02,62.19642176,21.83674124,36.92391896
Justin Herbert,27,sdg,10,462.777683,7.55E-03,86.98816071,5.939562352,36.23699266
Jaxson Dart,22,nyg,7,288.858685,0.028110574,64.39325586,13.80397206,32.7151603
Bo Nix,25,den,10,424.344595,0.004805863,77.78449875,3.466881654,31.24814957
Mac Jones,27,sfo,8,349.860385,0.006587425,65.19077499,3.917954656,26.82284187
C.J. Stroud,24,htx,7,301.949117,0.002797905,60.35342229,1.595780703,23.56044866
Aaron Rodgers,42,pit,9,323.137761,-0.003757727,60.5872265,-2.293608961,21.21238336
Jayden Daniels,25,was,6,245.14043,0.007606307,46.10252729,3.169842802,19.2188559
Spencer Rattler,25,nor,7,318.655024,-0.010807838,49.95291509,-5.854752401,15.00716194
Michael Penix,25,atl,8,308.622004,-0.014133424,51.81703133,-8.239117453,14.21095595
Marcus Mariota,32,was,4,147.278247,1.43E-02,29.38488556,3.591300592,13.23340865
Justin Fields,26,nyj,7,270.196914,-1.41E-02,45.39069492,-7.188142161,12.46677704
Tua Tagovailoa,27,mia,10,343.13359,-0.017273826,50.0184319,-10.07629077,12.38820225
Kyler Murray,28,crd,5,214.743916,-0.011546102,37.10457268,-4.683415227,10.9376896
Joe Flacco,40,"cle, cin",8,384.393027,-0.024417299,57.0719665,-17.72880766,10.23307309
Jacoby Brissett,33,crd,4,202.135002,-0.021216294,31.23375717,-8.10060525,6.603290046
Tyler Huntley,27,rav,2,55.804114,0.021606194,13.13663516,2.277460729,6.336816314
Brock Purdy,26,sfo,2,85.96241,0.00462429,15.73080771,0.675775676,6.303618639
Trevor Lawrence,26,jax,9,404.001336,-3.23E-02,53.97056262,-24.64588089,4.742365999
Bryce Young,24,car,9,321.078259,-0.031138201,39.23580195,-16.99625895,4.024301315
Davis Mills,27,htx,2,95.508779,-0.025079977,14.0609193,-4.524565104,2.423024736
Kirk Cousins,37,atl,1,43.266232,-0.014546066,7.230592622,-1.188778754,1.958534373
Joe Milton,25,dal,0,9.561717,0.044637876,2.666863289,0.806205619,1.501753071
Tyson Bagent,25,chi,0,5.994442,7.97E-02,2.068849189,0.902363663,1.338417027
Russell Wilson,37,nyg,3,153.627737,-0.034067244,18.00835806,-8.897245235,1.16055536
Tyler Shough,26,nor,3,100.908179,-3.34E-02,11.93894666,-5.733613559,0.872708728
Trey Lance,25,sdg,0,6.271795,0.028882905,1.40636223,0.307951022,0.718556976
Mason Rudolph,30,pit,0,2.124826,0.095918488,0.798454111,0.384974629,0.539540729
Max Brosmer,24,min,0,8.499304,-0.010971017,1.477786578,-0.176131351,0.442133051
Zach Wilson,26,mia,0,10.434112,-0.022530191,1.42773854,-0.399640315,0.283466915
Anthony Richardson,23,clt,0,2.124826,-0.053301401,0.17959599,-0.192535544,-0.053426054
Drew Lock,29,sea,0,4.059634,-5.49E-02,0.369142722,-0.420839782,-0.12553005
Kenny Pickett,27,rai,0,4.059634,-0.067391255,0.273213044,-0.51676946,-0.221459728
Kedon Slovis,24,crd,0,1.062413,-0.242724582,-0.280355122,-0.487094863,-0.409811813
Mitchell Trubisky,31,buf,0,8.991663,-0.065582445,0.6358595,-1.113868789,-0.459788743
Carson Wentz,33,min,5,210.989354,-0.04035101,24.97606283,-16.0813079,-0.73332097
Riley Leonard,23,clt,0,2.997221,-0.210008365,-0.54513203,-1.070050517,-0.873826503
Kyle Allen,29,det,0,2.997221,-0.24262271,-0.790345678,-1.373588441,-1.155561759
Joshua Dobbs,30,nwe,0,6.486801,-0.166322258,-0.69806267,-1.834128967,-1.409446861
Joe Burrow,29,cin,1,45.740398,-0.058240577,3.868930267,-5.031900239,-1.704608991
Quinn Ewers,22,mia,0,11.671195,-0.141200811,-0.75753428,-2.801569744,-2.037472359
Tyrod Taylor,36,nyj,2,95.867759,-0.058332371,8.092307511,-10.56303243,-3.589329329
Jake Browning,29,cin,4,149.938499,-0.051464469,14.60158824,-14.57562105,-3.668653095
Andy Dalton,38,car,1,51.996845,-0.093628201,0.83023988,-8.27623081,-4.872067546
Dillon Gabriel,25,cle,5,214.874318,-5.05E-02,21.30922441,-20.50413901,-4.873548351
Cooper Rush,32,rav,1,57.267619,-0.087430319,1.686437211,-9.457527259,-5.29171201
Geno Smith,35,rai,9,340.879317,-0.04957943,34.40988511,-31.92335981,-7.126794466
J.J. McCarthy,22,min,4,150.307119,-0.066262616,10.43609298,-18.81284775,-7.879065287
Cam Ward,23,oti,9,372.805369,-0.091963126,7.786557411,-64.75932207,-37.64036169