Date,Time (ET),Matchup,Favorite,Win Prob.
2025-11-20,8:15PM,Buffalo Bills at Houston Texans,Pick em,50.62606273
2025-11-23,4:05PM,Jacksonville Jaguars at Arizona Cardinals,ARI -0.5,51.11179574
2025-11-23,1:00PM,New York Jets at Baltimore Ravens,BAL -11.5,84.03711079
2025-11-23,1:00PM,Pittsburgh Steelers at Chicago Bears,CHI -1,54.17055421
2025-11-23,1:00PM,New England Patriots at Cincinnati Bengals,NE -2,57.31645193
2025-11-23,4:25PM,Philadelphia Eagles at Dallas Cowboys,PHI -6,70.3671088
2025-11-23,1:00PM,New York Giants at Detroit Lions,DET -14,88.39155921
2025-11-23,1:00PM,Minnesota Vikings at Green Bay Packers,GB -7.5,74.11077533
2025-11-23,1:00PM,Indianapolis Colts at Kansas City Chiefs,KC -5.5,68.36470178
2025-11-23,8:20PM,Tampa Bay Buccaneers at Los Angeles Rams,LAR -7,73.78013706
2025-11-23,4:25PM,Atlanta Falcons at New Orleans Saints,NO -1.5,55.10663314
2025-11-23,4:05PM,Cleveland Browns at Las Vegas Raiders,OAK -2,57.2406214
2025-11-23,1:00PM,Seattle Seahawks at Tennessee Titans,SEA -12,84.51574114
2025-11-24,8:15PM,Carolina Panthers at San Francisco 49ers,SF -7.5,74.45937217