X.1,X.2,~~~Ratings~~~,X.3,X.4,~~~2025 Forecast~~~,X.5,X.6,X.7,X.8
Team,Div.,Off.,Def.,Ovr.,Avg. Wins,PO%,Div%,Cnf%,SB%
Rams,NFCW,4.176752689,5.497954231,9.67470692,13.049,99,68.9,31.7,18.8
Seahawks,NFCW,4.688014911,2.987577352,7.675592263,11.82,93.7,20.6,16.1,8.6
Chiefs,AFCW,2.175253425,4.298775418,6.474028844,9.869,56.6,9.7,10.5,5.9
Lions,NFCN,4.551764811,1.11005122,5.661816031,10.66,78.3,47.5,11,5.3
Texans,AFCS,0.171423813,5.442968652,5.614392465,9.314,48,16.5,9.1,5.1
Eagles,NFCE,1.318080587,4.132177941,5.450258528,12.791,99.8,99.6,22,12.3
Colts,AFCS,5.605796034,-1.003427816,4.602368219,11.398,84.4,58.9,17.3,7.9
Bills,AFCE,5.128214582,-0.718174174,4.410040407,11.395,86.6,26.7,12,5.7
49ers,NFCW,2.803032167,1.274487058,4.077519225,11.042,90.3,10.5,5.3,3.2
Broncos,AFCW,-0.708828501,4.080321258,3.371492758,12.573,97.9,80.3,19.3,8.9
Ravens,AFCN,3.298008247,-0.110468661,3.187539586,9.643,66.2,64.2,7.2,2.7
Buccaneers,NFCS,2.91550741,-0.38308761,2.532419801,10.452,90,88.6,5.9,2.7
Packers,NFCN,-0.425661782,2.520945942,2.09528416,10.329,69.6,33.1,5.1,2.1
Jaguars,AFCS,1.942168442,0.12629016,2.068458602,10.052,65.4,24.6,7.3,2.9
Patriots,AFCE,0.983490447,0.620022824,1.603513271,12.633,96.5,73.3,11.2,3.9
Chargers,AFCW,-0.696926292,0.466060428,-0.230865864,9.577,49.2,10,3,1.5
Steelers,AFCN,-1.273279202,0.680838125,-0.592441077,9.21,46.9,34.9,2.9,1.3
Cardinals,NFCW,-0.188874079,-0.948010532,-1.136884611,5.76,0.3,0,0,0
Cowboys,NFCE,3.893244328,-5.57682585,-1.683581523,7.665,9,0.4,0.7,0.3
Vikings,NFCN,-1.998346537,-0.253633732,-2.25198027,6.785,4.6,0.7,0.3,0.2
Bears,NFCN,-0.600178485,-2.122816017,-2.722994501,9.754,50.5,18.7,1.6,0.6
Dolphins,AFCE,-2.882059277,-0.658725264,-3.54078454,6.776,0.9,0,0.1,0
Falcons,NFCS,-2.919712058,-0.915208073,-3.834920132,5.681,0.3,0.3,0,0
Commanders,NFCE,-1.135115916,-2.830037827,-3.965153743,5.23,0,0,0,0
Giants,NFCE,-1.175553313,-3.368521795,-4.544075108,4.421,0,0,0,0
Panthers,NFCS,-4.263953442,-0.847216389,-5.11116983,7.664,13.9,10.5,0.3,0.1
Saints,NFCS,-6.044786453,0.139434323,-5.90535213,5.009,0.7,0.6,0,0
Jets,AFCE,-3.904214819,-2.548187617,-6.452402436,4.364,0.1,0,0,0
Bengals,AFCN,1.160428609,-7.935620525,-6.775191916,5.281,1.3,0.9,0.1,0
Browns,AFCN,-6.196578863,-0.789251827,-6.985830691,4.686,0,0,0,0
Raiders,AFCW,-6.211358356,-0.884391943,-7.095750299,4.107,0,0,0,0
Titans,AFCS,-5.175890021,-2.060047889,-7.23593791,3.01,0,0,0,0