"Player Details","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"152","Christian Kirk","HST","WR","6","2025","28","12.6","16","144","9.7","9.00","5.14","24.0","57.1","0","0.0","2","3","0","5.1","30.4","30.4","14.4"
"153","Mike Evans","TB","WR","4","2025","31","20.8","14","140","16.6","10.00","4.52","35.0","45.2","1","14.3","1","5","0","8.5","34.0","34.0","20.0"
"154","Greg Dortch","ARZ","WR","10","2025","22","5.9","21","139","5.5","6.62","6.32","13.9","95.5","2","12.5","0","7","0","5.5","54.9","54.9","33.9"
"155","Terrance Ferguson","LA","TE","7","2025","11","4.7","5","138","7.9","27.60","12.55","19.7","45.5","1","4.8","0","0","0","3.5","24.8","24.8","19.8"
"156","Tre Harris","LAC","WR","11","2025","19","4.9","16","137","4.9","8.56","7.21","12.5","84.2","1","5.3","1","3","0","3.2","35.7","35.7","19.7"
"157","Brycen Tremayne","CAR","WR","10","2025","14","4.3","12","133","6.2","11.08","9.50","13.3","85.7","0","0.0","0","1","1","2.5","25.3","25.3","13.3"
"158","Jordan Whittington","LA","WR","10","2025","18","5.3","13","130","5.1","10.00","7.22","13.0","72.2","0","0.0","0","1","0","2.7","27.2","27.2","14.2"
"159","Colby Parkinson","LA","TE","8","2025","17","6.1","15","123","5.9","8.20","7.24","15.4","88.2","2","8.3","4","8","1","4.8","38.3","38.3","23.3"
"160","Isaiah Bond","CLV","WR","9","2025","28","8.5","11","123","7.5","11.18","4.39","13.7","39.3","0","0.0","2","3","0","2.8","25.0","25.0","14.0"
"161","Jeremy Ruckert","NYJ","TE","10","2025","16","5.8","14","119","7.2","8.50","7.44","11.9","87.5","1","9.1","1","2","0","3.2","31.9","31.9","17.9"
"162","Mitchell Evans","CAR","TE","11","2025","11","3.1","11","118","5.2","10.73","10.73","10.7","100.0","2","13.3","2","2","0","3.2","34.8","34.8","23.8"
"163","Isaiah Likely","BLT","TE","7","2025","16","8.6","12","118","9.2","9.83","7.38","16.9","75.0","0","0.0","1","3","1","3.4","23.8","23.8","11.8"
"164","Jalen Coker","CAR","WR","5","2025","14","9.6","11","118","11.3","10.73","8.43","23.6","78.6","0","0.0","0","0","0","5.0","24.8","24.8","13.8"
"165","Darren Waller","MIA","TE","4","2025","12","9.6","10","117","14.6","11.70","9.75","29.3","83.3","4","66.7","4","4","0","11.4","45.7","45.7","35.7"
"166","Elijah Moore","BUF","WR","8","2025","14","5.9","8","115","5.9","14.38","8.21","14.4","57.1","0","0.0","0","0","0","3.5","27.9","27.9","19.9"
"167","Kalif Raymond","DET","WR","10","2025","17","5.4","13","113","4.5","8.69","6.65","11.3","76.5","0","0.0","1","2","0","2.6","26.2","26.2","13.2"
"168","Jackson Hawes","BUF","TE","10","2025","11","3.7","8","113","4.5","14.13","10.27","11.3","72.7","2","11.1","1","2","0","3.1","31.3","31.3","23.3"
"169","Luke Musgrave","GB","TE","10","2025","15","4.8","13","110","4.5","8.46","7.33","11.0","86.7","0","0.0","0","0","1","2.4","24.0","24.0","11.0"
"170","Noah Gray","KC","TE","10","2025","21","5.8","13","107","4.1","8.23","5.10","10.7","61.9","0","0.0","1","2","0","2.4","23.7","23.7","10.7"
"171","Jamari Thrash","CLV","WR","9","2025","14","4.2","10","107","6.4","10.70","7.64","11.9","71.4","0","0.0","0","1","0","2.3","20.7","20.7","10.7"
"172","Davis Allen","LA","TE","10","2025","16","4.7","13","104","4.1","8.00","6.50","10.4","81.3","3","11.1","3","5","0","4.1","41.4","41.4","28.4"
"173","Josh Reynolds","NYJ","WR","5","2025","21","14.4","11","101","10.7","9.18","4.81","20.2","52.4","0","0.0","1","1","0","4.6","23.1","23.1","12.1"
"174","Dont'e Thornton","LV","WR","9","2025","21","7.7","6","98","5.4","16.33","4.67","10.9","28.6","0","0.0","0","1","0","1.8","15.8","15.8","9.8"
"175","Tyler Conklin","LAC","TE","8","2025","9","3.2","6","95","4.8","15.83","10.56","11.9","66.7","0","0.0","0","0","1","2.0","15.7","15.7","9.7"
"176","Casey Washington","ATL","WR","7","2025","14","6.2","6","94","5.6","15.67","6.71","13.4","42.9","0","0.0","0","0","0","2.2","15.4","15.4","9.4"
"177","Adam Trautman","DEN","TE","11","2025","12","3.1","11","93","3.8","8.45","7.75","8.5","91.7","1","5.6","1","1","0","2.4","26.3","26.3","15.3"
"178","Jack Bech","LV","WR","10","2025","10","3.2","8","92","4.4","11.50","9.20","9.2","80.0","0","0.0","0","0","0","1.7","17.2","17.2","9.2"
"179","Kyle Williams","NE","WR","11","2025","11","3.4","3","92","3.2","30.67","8.36","8.4","27.3","1","5.0","0","0","0","1.6","18.0","18.0","15.0"
"180","Tanner Conner","MIA","TE","9","2025","15","5.2","9","91","4.9","10.11","6.07","10.1","60.0","0","0.0","1","3","0","2.0","18.1","18.1","9.1"
"181","Julian Hill","MIA","TE","8","2025","14","5.8","11","91","5.8","8.27","6.50","11.4","78.6","0","0.0","0","3","0","2.8","22.1","22.1","11.1"
"182","Greg Dulcich","MIA","TE","4","2025","12","11.1","8","89","11.0","11.13","7.42","22.3","66.7","0","0.0","2","2","0","4.2","16.9","16.9","8.9"
"183","Nick Westbrook-Ikhine","MIA","WR","11","2025","17","5.2","11","89","4.0","8.09","5.24","8.1","64.7","0","0.0","1","2","0","1.8","19.9","19.9","8.9"
"184","Hunter Renfrow","CAR","WR","6","2025","23","11.2","15","89","7.4","5.93","3.87","14.8","65.2","2","18.2","3","6","0","6.0","35.9","35.9","20.9"
"185","Charlie Kolar","BLT","TE","10","2025","9","3.4","7","88","4.4","12.57","9.78","8.8","77.8","2","12.5","2","2","0","2.8","27.8","27.8","20.8"
"186","Malik Heath","GB","WR","9","2025","6","2.1","6","86","3.8","14.33","14.33","9.6","100.0","0","0.0","0","0","0","1.6","14.6","14.6","8.6"
"187","Hunter Long","JAX","TE","8","2025","16","5.5","12","85","4.6","7.08","5.31","10.6","75.0","2","22.2","3","4","1","4.1","32.5","32.5","20.5"
"188","Xavier Smith","LA","WR","10","2025","9","2.7","7","85","3.3","12.14","9.44","8.5","77.8","0","0.0","0","1","0","1.6","15.5","15.5","8.5"
"189","Tanner Hudson","CIN","TE","6","2025","12","5.2","10","83","5.6","8.30","6.92","13.8","83.3","1","8.3","3","3","0","4.1","24.3","24.3","14.3"
"190","Johnny Mundt","JAX","TE","10","2025","14","4.1","7","83","3.9","11.86","5.93","8.3","50.0","0","0.0","0","0","0","1.5","15.3","15.3","8.3"
"191","Tim Patrick","JAX","WR","9","2025","10","3.3","7","83","4.3","11.86","8.30","9.2","70.0","2","18.2","2","3","0","3.0","27.3","27.3","20.3"
"192","Luke Farrell","SF","TE","11","2025","10","2.6","10","82","2.8","8.20","8.20","7.5","100.0","2","10.0","1","3","1","2.7","29.2","29.2","19.2"
"193","Curtis Samuel","BUF","WR","6","2025","8","4.7","7","81","5.2","11.57","10.13","13.5","87.5","1","9.1","1","1","0","3.5","21.1","21.1","14.1"
"194","Brock Wright","DET","TE","10","2025","14","4.5","11","79","3.2","7.18","5.64","7.9","78.6","2","9.1","2","2","0","3.1","30.9","30.9","19.9"
"195","Savion Williams","GB","WR","10","2025","10","3.2","10","78","3.2","7.80","7.80","7.8","100.0","1","6.3","1","4","0","2.6","25.6","25.6","15.6"
"196","Treylon Burks","WAS","WR","2","2025","4","9.1","4","72","19.7","18.00","18.00","36.0","100.0","0","0.0","0","0","0","5.6","11.2","11.2","7.2"
"197","Adam Thielen","MIN","WR","10","2025","17","5.3","8","69","3.2","8.63","4.06","6.9","47.1","0","0.0","0","1","0","1.7","16.9","16.9","8.9"
"198","Ray-Ray McCloud","NYG, ATL","WR","6","2025","13","6.5","7","69","4.8","9.86","5.31","11.5","53.8","0","0.0","0","1","0","2.3","13.9","13.9","6.9"
"199","Jimmy Horn","CAR","WR","7","2025","9","4.5","6","66","4.6","11.00","7.33","9.4","66.7","0","0.0","0","1","0","2.4","17.0","17.0","11.0"
"200","John Metchie","NYJ, PHI","WR","9","2025","8","3.5","8","66","4.3","8.25","8.25","7.3","100.0","1","7.1","0","0","0","2.2","19.9","19.9","11.9"
"201","Isaac TeSlaa","DET","WR","10","2025","8","2.6","4","65","2.6","16.25","8.13","6.5","50.0","2","9.1","0","3","0","2.3","22.5","22.5","18.5"
"202","Skyy Moore","SF","WR","11","2025","6","1.5","4","64","2.2","16.00","10.67","5.8","66.7","0","0.0","0","0","0","1.0","10.5","10.5","6.5"
"203","Kameron Johnson","TB","WR","10","2025","6","1.8","4","64","2.7","16.00","10.67","6.4","66.7","1","5.9","0","0","0","1.8","17.7","17.7","13.7"
"204","Luke Schoonmaker","DAL","TE","10","2025","15","4.0","8","63","2.3","7.88","4.20","6.3","53.3","0","0.0","0","2","0","1.4","14.3","14.3","6.3"
"205","John Bates","WAS","TE","9","2025","9","3.5","6","62","3.3","10.33","6.89","6.9","66.7","0","0.0","0","0","0","1.4","12.2","12.2","6.2"
"206","Dee Eskridge","MIA","WR","9","2025","6","2.1","4","62","3.3","15.50","10.33","6.9","66.7","0","0.0","0","0","0","1.1","10.2","10.2","6.2"
"207","Mike Gesicki","CIN","TE","6","2025","16","7.8","8","61","5.2","7.63","3.81","10.2","50.0","0","0.0","2","3","0","2.4","14.1","14.1","6.1"
"208","Cody White","SEA","WR","4","2025","2","1.9","1","60","6.4","60.00","30.00","15.0","50.0","1","20.0","0","0","0","3.3","13.0","13.0","12.0"
"209","Devontez Walker","BLT","WR","5","2025","3","2.2","3","60","5.5","20.00","20.00","12.0","100.0","2","25.0","1","1","0","4.2","21.0","21.0","18.0"
"210","Ashton Dulin","IND","WR","9","2025","7","2.4","4","58","2.4","14.50","8.29","6.4","57.1","0","0.0","0","1","0","1.6","14.2","14.2","10.2"
"211","Josh Oliver","MIN","TE","8","2025","7","2.8","6","58","3.3","9.67","8.29","7.3","85.7","2","20.0","1","3","0","3.0","23.8","23.8","17.8"
"212","Isaiah Hodgins","NYG","WR","1","2025","6","20.7","5","57","28.4","11.40","9.50","57.0","83.3","0","0.0","0","0","0","10.7","10.7","10.7","5.7"
"213","Lil'Jordan Humphrey","NYG, DEN","WR","4","2025","8","6.6","4","55","5.7","13.75","6.88","13.8","50.0","0","0.0","1","2","0","2.4","9.5","9.5","5.5"
"214","Devaughn Vele","NO","WR","9","2025","13","4.3","6","54","2.7","9.00","4.15","6.0","46.2","1","10.0","2","2","0","1.9","17.4","17.4","11.4"
"215","Robbie Chosen","WAS","WR","3","2025","9","10.7","5","53","8.2","10.60","5.89","17.7","55.6","0","0.0","0","0","0","3.4","10.3","10.3","5.3"
"216","Ian Thomas","LV","TE","10","2025","6","1.9","6","53","2.5","8.83","8.83","5.3","100.0","0","0.0","0","0","0","1.1","11.3","11.3","5.3"
"217","Chris Godwin","TB","WR","2","2025","13","17.8","6","52","7.8","8.67","4.00","26.0","46.2","0","0.0","0","1","0","5.6","11.2","11.2","5.2"
"218","Mo Alie-Cox","IND","TE","10","2025","8","2.5","4","50","1.9","12.50","6.25","5.0","50.0","0","0.0","0","3","0","0.9","9.0","9.0","5.0"
"219","Mitchell Tinsley","CIN","WR","10","2025","6","1.6","3","49","2.0","16.33","8.17","4.9","50.0","1","5.0","0","1","0","1.4","13.9","13.9","10.9"
"220","Nate Adkins","DEN","TE","6","2025","9","4.2","6","48","3.4","8.00","5.33","8.0","66.7","1","9.1","1","2","0","2.8","16.8","16.8","10.8"
"221","Dareke Young","SEA","WR","6","2025","2","1.2","2","48","3.0","24.00","24.00","8.0","100.0","0","0.0","0","0","0","1.1","6.8","6.8","4.8"
"222","Arian Smith","NYJ","WR","10","2025","10","3.6","6","47","2.9","7.83","4.70","4.7","60.0","0","0.0","0","0","0","1.1","11.0","11.0","5.0"
"223","Austin Trammell","JAX","WR","3","2025","5","6.3","3","46","8.7","15.33","9.20","15.3","60.0","0","0.0","0","0","0","2.5","7.6","7.6","4.6"
"224","Allen Lazard","NYJ","WR","6","2025","11","5.6","7","45","3.7","6.43","4.09","7.5","63.6","1","12.5","3","4","0","2.9","17.5","17.5","10.5"
"225","Tylan Wallace","BLT","WR","10","2025","7","2.7","4","45","2.3","11.25","6.43","4.5","57.1","1","6.3","1","2","0","1.5","14.5","14.5","10.5"
"226","Jayden Reed","GB","WR","2","2025","5","9.4","3","45","9.4","15.00","9.00","22.5","60.0","1","25.0","0","1","0","6.8","13.5","13.5","10.5"
"227","Will Dissly","LAC","TE","4","2025","5","3.2","4","43","3.5","10.75","8.60","10.8","80.0","0","0.0","0","0","0","2.1","8.3","8.3","4.3"
"228","Gabe Davis","BUF","WR","1","2025","4","13.3","3","40","12.6","13.33","10.00","40.0","75.0","0","0.0","1","1","0","7.0","7.0","7.0","4.0"
"229","Grant Calcaterra","PHI","TE","8","2025","7","3.3","4","40","2.9","10.00","5.71","5.0","57.1","0","0.0","0","0","0","1.0","8.0","8.0","4.0"
"230","Marquez Valdes-Scantling","SF","WR","5","2025","8","3.9","4","40","2.6","10.00","5.00","8.0","50.0","0","0.0","0","0","0","1.6","8.0","8.0","4.0"
"231","Isaiah Williams","NYJ","WR","8","2025","7","3.4","5","37","3.2","7.40","5.29","4.6","71.4","0","0.0","0","0","0","1.5","11.6","11.6","6.6"
"232","Braxton Berrios","HST","WR","4","2025","8","4.6","6","37","3.5","6.17","4.63","9.3","75.0","0","0.0","0","2","0","2.4","9.7","9.7","3.7"
"233","Noah Brown","WAS","WR","2","2025","7","9.7","3","36","8.3","12.00","5.14","18.0","42.9","0","0.0","0","1","0","3.3","6.6","6.6","3.6"
"234","Albert Okwuegbunam","LV","TE","1","2025","6","16.7","5","36","15.8","7.20","6.00","36.0","83.3","0","0.0","0","1","0","8.6","8.6","8.6","3.6"
"235","Jalin Hyatt","NYG","WR","7","2025","13","6.1","5","35","2.6","7.00","2.69","5.0","38.5","0","0.0","0","1","0","1.2","8.5","8.5","3.5"
"236","Ben Skowronek","PIT","WR","10","2025","3","1.0","2","35","1.7","17.50","11.67","3.5","66.7","1","5.0","0","1","0","1.2","11.5","11.5","9.5"
"237","David Sills","ATL","WR","10","2025","8","2.4","4","34","1.5","8.50","4.25","3.4","50.0","0","0.0","0","0","0","0.7","7.4","7.4","3.4"
"238","Ryan Miller","TB","WR","10","2025","4","1.2","2","34","1.4","17.00","8.50","3.4","50.0","1","5.9","0","1","0","1.1","11.4","11.4","9.4"
"239","Ben Sinnott","WAS","TE","10","2025","3","1.1","3","33","1.6","11.00","11.00","3.3","100.0","1","7.1","1","1","0","1.2","12.3","12.3","9.3"
"240","KhaDarel Hodge","ATL","WR","9","2025","10","3.3","3","31","1.6","10.33","3.10","3.4","30.0","0","0.0","0","0","0","0.7","6.1","6.1","3.1"
"241","Justin Watson","HST","WR","2","2025","4","7.8","3","30","7.6","10.00","7.50","15.0","75.0","0","0.0","0","2","0","3.0","6.0","6.0","3.0"
"242","John FitzPatrick","GB","TE","10","2025","6","1.9","6","29","1.2","4.83","4.83","2.9","100.0","1","6.3","2","2","0","1.5","14.9","14.9","8.9"
"243","Jack Stoll","NO","TE","9","2025","6","1.9","3","28","1.5","9.33","4.67","3.1","50.0","1","11.1","0","1","0","1.3","11.8","11.8","8.8"
"244","James Mitchell","CAR","TE","3","2025","3","3.3","3","28","4.6","9.33","9.33","9.3","100.0","0","0.0","0","0","0","1.9","5.8","5.8","2.8"
"245","Bo Melton","GB","WR","2","2025","5","8.1","2","28","7.9","14.00","5.60","14.0","40.0","0","0.0","0","0","0","3.3","6.5","6.5","4.5"
"246","Jordan Watkins","SF","WR","3","2025","3","3.2","2","26","3.5","13.00","8.67","8.7","66.7","0","0.0","0","0","0","1.5","4.6","4.6","2.6"
"247","Malachi Corley","CLV","WR","6","2025","5","2.6","4","26","2.7","6.50","5.20","4.3","80.0","0","0.0","0","0","0","2.3","14.0","14.0","10.0"
"248","Beaux Collins","NYG","WR","9","2025","6","2.1","2","25","1.3","12.50","4.17","2.8","33.3","0","0.0","1","1","0","0.5","4.5","4.5","2.5"
"249","Jacoby Jones","WAS","WR","1","2025","1","3.3","1","25","11.7","25.00","25.00","25.0","100.0","0","0.0","0","0","0","3.5","3.5","3.5","2.5"
"250","Foster Moreau","NO","TE","6","2025","5","2.6","3","25","1.8","8.33","5.00","4.2","60.0","0","0.0","0","1","0","0.9","5.5","5.5","2.5"
"251","Gunner Olszewski","NYG","WR","11","2025","3","0.9","1","24","1.0","24.00","8.00","2.2","33.3","1","7.7","0","2","0","0.9","9.4","9.4","8.4"
"252","Drew Sample","CIN","TE","10","2025","6","1.6","5","24","1.0","4.80","4.00","2.4","83.3","1","5.0","1","1","0","1.3","13.4","13.4","8.4"
"253","Tay Martin","WAS","WR","3","2025","2","2.5","2","23","3.8","11.50","11.50","7.7","100.0","0","0.0","0","0","0","1.4","4.3","4.3","2.3"
"254","Brenden Bates","HST, CLV","TE","4","2025","2","1.5","2","23","2.7","11.50","11.50","5.8","100.0","0","0.0","0","0","0","1.1","4.3","4.3","2.3"
"255","Cade Stover","HST","TE","2","2025","4","5.9","4","22","4.8","5.50","5.50","11.0","100.0","0","0.0","0","0","0","3.1","6.2","6.2","2.2"
"256","Gage Larvadain","CLV","WR","6","2025","5","2.6","2","22","2.3","11.00","4.40","3.7","40.0","0","0.0","0","0","0","0.8","4.5","4.5","2.5"
"257","Nikko Remigio","KC","WR","10","2025","1","0.3","1","21","0.8","21.00","21.00","2.1","100.0","0","0.0","0","0","0","0.4","4.2","4.2","3.2"
"258","Trent Sherfield","DEN","WR","10","2025","4","1.1","3","21","1.0","7.00","5.25","2.1","75.0","0","0.0","0","1","0","0.5","5.1","5.1","2.1"
"259","Jake Bobo","SEA","WR","6","2025","2","1.2","2","20","1.2","10.00","10.00","3.3","100.0","0","0.0","0","0","0","0.7","4.0","4.0","2.0"
"260","Jared Wayne","HST","WR","1","2025","2","5.1","2","20","6.3","10.00","10.00","20.0","100.0","0","0.0","0","0","0","4.0","4.0","4.0","2.0"
"261","Tucker Fisk","LAC","TE","9","2025","3","0.9","2","19","0.9","9.50","6.33","2.1","66.7","0","0.0","0","0","0","0.4","3.9","3.9","1.9"
"262","Tip Reiman","ARZ","TE","4","2025","5","3.6","3","18","2.4","6.00","3.60","4.5","60.0","0","0.0","0","0","0","1.2","4.8","4.8","1.8"
"263","Taysom Hill","NO","TE","6","2025","4","2.1","3","18","1.3","6.00","4.50","3.0","75.0","0","0.0","0","0","0","2.8","16.8","16.8","13.8"
"264","Connor Heyward","PIT","TE","10","2025","3","1.0","2","18","0.9","9.00","6.00","1.8","66.7","1","5.0","1","2","0","1.1","10.7","10.7","8.7"
"265","Brevyn Spann-Ford","DAL","TE","10","2025","5","1.3","4","18","0.7","4.50","3.60","1.8","80.0","0","0.0","1","1","0","0.6","5.8","5.8","1.8"
"266","Zaire Mitchell-Paden","BLT, NO","TE","7","2025","3","1.6","2","17","1.1","8.50","5.67","2.4","66.7","0","0.0","1","1","0","0.5","3.7","3.7","1.7"
"267","Michael Bandy","DEN","WR","2","2025","1","1.5","1","16","5.0","16.00","16.00","8.0","100.0","0","0.0","0","0","0","1.3","2.6","2.6","1.6"
"268","Lucas Krull","DEN","TE","3","2025","4","4.2","2","15","2.8","7.50","3.75","5.0","50.0","0","0.0","0","0","0","1.2","3.5","3.5","1.5"
"269","Xavier Weaver","ARZ","WR","4","2025","4","2.4","2","15","1.3","7.50","3.75","3.8","50.0","0","0.0","0","1","0","0.9","3.5","3.5","1.5"
"270","Tim Jones","MIN, JAX","WR","4","2025","1","1.0","1","15","2.2","15.00","15.00","3.8","100.0","0","0.0","0","0","0","0.6","2.5","2.5","1.5"
"271","Mason Kinsey","TEN","WR","4","2025","3","2.3","1","14","1.6","14.00","4.67","3.5","33.3","0","0.0","0","0","0","0.6","2.4","2.4","1.4"
"272","Konata Mumpfield","LA","WR","10","2025","4","1.2","2","12","0.5","6.00","3.00","1.2","50.0","1","3.7","1","1","0","0.9","9.2","9.2","7.2"
"273","Eric Saubert","SEA","TE","7","2025","1","0.5","1","12","0.7","12.00","12.00","1.7","100.0","0","0.0","0","1","0","0.3","2.2","2.2","1.2"
"274","Tahj Washington","MIA","WR","4","2025","2","1.7","1","11","1.3","11.00","5.50","2.8","50.0","0","0.0","0","0","1","0.3","1.1","1.1","0.1"
"275","Quintin Morris","JAX","TE","6","2025","2","1.1","1","11","0.9","11.00","5.50","1.8","50.0","0","0.0","0","0","0","0.4","2.1","2.1","1.1"
"276","Kylen Granson","PHI","TE","10","2025","4","1.5","3","10","0.5","3.33","2.50","1.0","75.0","0","0.0","0","0","0","0.4","4.0","4.0","1.0"
"277","Cedrick Wilson","MIA","WR","4","2025","2","1.9","2","9","1.1","4.50","4.50","2.3","100.0","0","0.0","0","1","0","0.7","2.9","2.9","0.9"
"278","Tai Felton","MIN","WR","8","2025","1","0.4","1","9","0.5","9.00","9.00","1.1","100.0","0","0.0","0","0","0","0.2","1.9","1.9","0.9"
"279","Charlie Woerner","ATL","TE","10","2025","2","0.6","2","9","0.4","4.50","4.50","0.9","100.0","0","0.0","0","0","0","0.3","2.9","2.9","0.9"
"280","Scott Miller","PIT","WR","7","2025","2","1.0","1","9","0.6","9.00","4.50","1.3","50.0","0","0.0","0","1","0","0.3","1.9","1.9","0.9"
"281","Alex Bachman","LV","WR","8","2025","2","0.8","1","9","0.5","9.00","4.50","1.1","50.0","0","0.0","0","0","0","0.2","1.9","1.9","0.9"
"282","Durham Smythe","CHI","TE","10","2025","3","0.9","1","8","0.3","8.00","2.67","0.8","33.3","0","0.0","0","0","0","0.2","1.8","1.8","0.8"
"283","Bryce Oliver","TEN","WR","2","2025","1","1.6","1","8","2.8","8.00","8.00","4.0","100.0","0","0.0","0","0","0","0.9","1.8","1.8","0.8"
"284","Chris Manhertz","NYG","TE","11","2025","1","0.3","1","7","0.3","7.00","7.00","0.6","100.0","0","0.0","0","0","0","0.2","1.7","1.7","0.7"
"285","Harrison Bryant","HST","TE","8","2025","6","2.0","2","7","0.4","3.50","1.17","0.9","33.3","0","0.0","0","0","0","0.3","2.7","2.7","0.7"
"286","Cam Grandy","CIN","TE","3","2025","1","1.0","1","6","1.0","6.00","6.00","2.0","100.0","0","0.0","0","0","1","0.5","1.6","1.6","0.6"
"287","David Moore","CAR","WR","4","2025","1","0.7","1","5","0.6","5.00","5.00","1.3","100.0","0","0.0","0","0","0","0.7","2.7","2.7","1.7"
"288","Andre Baccellia","ARZ","WR","1","2025","1","1.8","1","5","1.1","5.00","5.00","5.0","100.0","0","0.0","0","1","0","1.5","1.5","1.5","0.5"
"289","Ben Yurosek","MIN","TE","8","2025","2","0.8","1","5","0.3","5.00","2.50","0.6","50.0","0","0.0","0","0","0","0.2","1.5","1.5","0.5"
"290","Blake Whiteheart","CLV","TE","9","2025","3","0.9","2","4","0.2","2.00","1.33","0.4","66.7","0","0.0","0","0","1","0.3","2.4","2.4","0.4"
"291","Keleki Latu","BUF","TE","1","2025","1","3.3","1","4","1.3","4.00","4.00","4.0","100.0","0","0.0","0","0","0","1.4","1.4","1.4","0.4"
"292","Colson Yankoff","WAS","TE","9","2025","1","0.4","1","4","0.2","4.00","4.00","0.4","100.0","0","0.0","0","0","0","0.2","1.4","1.4","0.4"
"293","Derius Davis","LAC","WR","8","2025","2","0.7","1","3","0.1","3.00","1.50","0.4","50.0","0","0.0","0","0","0","0.2","1.8","1.8","0.8"
"294","Anthony Gould","IND","WR","8","2025","1","0.4","1","3","0.1","3.00","3.00","0.4","100.0","0","0.0","0","0","0","0.2","1.3","1.3","0.3"
"295","Carter Runyon","LV","TE","4","2025","1","0.8","1","3","0.4","3.00","3.00","0.8","100.0","0","0.0","0","0","0","0.3","1.3","1.3","0.3"
"296","Xavier Gipson","PHI, NYJ","WR","5","2025","1","0.8","1","3","0.3","3.00","3.00","0.6","100.0","0","0.0","0","0","0","0.3","1.3","1.3","0.3"
"297","Devin Duvernay","CHI","WR","10","2025","3","0.9","1","2","0.1","2.00","0.67","0.2","33.3","0","0.0","1","1","0","0.1","1.2","1.2","0.2"
"298","Josh Whyle","GB","TE","2","2025","1","1.6","1","2","0.6","2.00","2.00","1.0","100.0","1","33.3","1","1","0","3.6","7.2","7.2","6.2"
"299","Robert Tonyan","KC","TE","10","2025","1","0.3","1","1","0.0","1.00","1.00","0.1","100.0","0","0.0","0","0","0","0.1","1.1","1.1","0.1"
"300","KeAndre Lambert-Smith","LAC","WR","6","2025","4","2.0","1","1","0.1","1.00","0.25","0.2","25.0","0","0.0","0","1","0","0.2","1.1","1.1","0.1"
"301","David Martin-Robinson","TEN","TE","8","2025","1","0.4","1","1","0.1","1.00","1.00","0.1","100.0","1","20.0","1","1","0","0.9","7.1","7.1","6.1"
"302","Ross Dwelley","DET","TE","7","2025","1","0.5","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","","0.0","0.0","0.0"
"303","Mecole Hardman","BUF","WR","1","2025","1","3.3","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","","0.0","0.0","0.0"
"304","Mason Tipton","NO","WR","8","2025","2","0.8","0","0","0.0","","0.00","0.0","","0","0.0","0","1","0","","0.0","0.0","0.0"
"305","Kevin Austin","NO","WR","1","2025","1","2.4","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","","0.0","0.0","0.0"
"306","Jason Brownlee","KC","WR","5","2025","1","0.6","0","0","0.0","","0.00","0.0","","0","0.0","1","1","0","","0.0","0.0","0.0"
"307","Payne Durham","TB","TE","10","2025","2","0.6","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","","0.0","0.0","0.0"
"308","Nick Kallerup","SEA","TE","3","2025","1","1.3","0","0","0.0","","0.00","0.0","","0","0.0","1","1","0","","0.0","0.0","0.0"
"309","Brayden Willis","SF","TE","5","2025","1","0.5","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","","0.0","0.0","0.0"
"310","Andrew Ogletree","IND","TE","10","2025","1","0.3","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","","0.0","0.0","0.0"

"Rank","Rank, Most to Least"
"Name","Full name of the player or team"
"Team","Team(s) played for"
"POS","Player Position"
"G","Games Played"
"TGT","Targets"
"TGT %","Team Target Share"
"REC","Receptions"
"YDS","Receiving Yards"
"TM YDS %","Receiving Yards Market Share"
"YPR","Yards per Reception"
"YPT","Yards per Target"
"RecYDS/G","Receiving Yards per Game"
"CR %","Catch Rate"
"TD","Receiving Touchdowns"
"TM TD %","Receiving Touchdown Market Share"
"i10","Inside the 10 targets"
"i20 TGT","Inside the 20 targets"
"FUM","Receiving Fumbles"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"